"s__Bifidobacterium_adolescentis","s__Bifidobacterium_bifidum","s__Bifidobacterium_dentium","s__Bifidobacterium_longum","s__Bacteroides_cellulosilyticus","s__Bacteroides_clarus","s__Bacteroides_finegoldii","s__Bacteroides_fragilis","s__Bacteroides_plebeius","s__Bacteroides_salyersiae","s__Prevotella_copri","s__Lactobacillus_delbrueckii","s__Streptococcus_salivarius","s__Streptococcus_thermophilus","s__Clostridium_asparagiforme","s__Clostridium_bolteae","s__Clostridium_leptum","s__Pseudoflavonifractor_capillosus","s__Eubacterium_eligens","s__Ruminococcus_gnavus","s__Ruminococcus_torques","s__Butyrivibrio_crossotus","s__Dorea_formicigenerans","s__Lachnospiraceae_bacterium_5_1_63FAA","s__Lachnospiraceae_bacterium_8_1_57FAA","s__Roseburia_hominis","s__Oscillibacter_unclassified","s__Anaerotruncus_colihominis","s__Faecalibacterium_prausnitzii","s__Ruminococcaceae_bacterium_D16","s__Ruminococcus_lactaris","s__Subdoligranulum_unclassified","s__Dialister_invisus","s__Mitsuokella_unclassified","s__Veillonella_unclassified","s__Oxalobacter_formigenes","s__Bilophila_wadsworthia","s__Haemophilus_parainfluenzae","s__Flavonifractor_plautii","s__Desulfovibrio_piger"
6.52476317522484,5.73257460830655,2.16670729630077,6.2416471062823,-5.08422237972326,-5.18074791459615,-3.7410746292542,-2.00176900561788,0,-4.43278656318212,2.40863262111965,2.38235850704246,2.92269554536121,0,-5.32233728177719,-4.94045488208146,0,-2.87178780637202,-3.04265640496066,0,-4.95756626353037,2.36881900845064,-4.6634910341726,-3.48447672821267,-2.97944530675409,-3.869432603267,0,-2.35407863151117,2.05759145194179,-4.25996849227926,-3.85019299343185,0,5.96484417763947,2.06780038028153,0,-2.26191081767241,-3.20686916294025,3.58962895374617,-2.37664329109812,0
3.64086242618061,2.51712918619167,0,3.08643460570437,-3.43705951907407,-3.64468872982968,0,-2.27311722025922,2.05540914960385,-2.88226570949155,3.22497735326228,0,0,0,-5.33604184349639,-4.42113504535563,-2.81626241505994,0,0,0,-3.24334737948525,3.05118897717896,-2.97413902971084,-3.00381797815474,-2.1072415192025,-3.47204325275589,-2.30977160047776,0,2.33188417896152,-2.30115143770454,0,0,3.39325642245737,1.99449300154566,0,0,-3.01246435359605,3.11224896477894,-2.34924482408625,0
-3.67917636520815,-5.92947019141464,-3.78039599794791,-3.32719736711945,0,4.61392157347778,5.48271465572032,0,2.79016502110799,3.76214048063887,0,0,-4.7181629075311,0,0,0,-3.93709146583067,2.46213407699129,0,0,2.9847675324828,0,3.77044353402508,0,0,0,2.49921563363451,0,0,3.73194580582511,6.45574324245158,0,-6.16233272403955,-2.61825460328157,0,0,0,-3.80291129651807,0,3.83459731060823
5.52303894676168,5.93028471048391,3.48616530426871,6.50618907114607,-2.99160812379027,-4.00448224489608,-5.90688352129404,0,-4.21350367819783,-3.57591458664971,0,2.39166624973245,3.30688906604981,3.4009987502856,0,0,2.62464464888312,-3.53696762748274,0,0,-4.22417521834213,0,-3.59601396923848,0,-2.06771805942493,0,0,-2.07047148431264,0,-4.4343343933209,-4.08672379099287,2.87605087536088,5.90143452062358,0,2.22111096970483,0,0,3.28790148366169,0,-4.37754013517552
0,0,0,-3.77183783958808,0,0,2.3653121481099,0,3.50564193375976,0,0,-3.92992083865424,0,-3.66995613764697,0,0,0,0,-2.11235351562592,2.56470807987068,2.77849421896125,0,0,-3.33966633929398,0,-2.35730071387881,0,0,0,0,0,0,-1.98615863173186,2.25401661794566,-2.13066938314561,0,0,-2.09216864841477,0,3.14804771904878
-3.31729942709146,-4.69330773825215,0,-4.36510598735273,0,2.89342056186891,3.11636661492721,0,0,0,0,3.44312841037411,0,4.19716304410184,2.71318007164944,1.96734204848257,0,3.1047545312861,3.10569206695784,0,3.58632460506774,0,3.45906522446562,3.26376137518923,3.75513292100085,0,0,0,0,4.07474929911206,2.80112679829106,0,-3.81534001151335,0,0,-2.20984270807107,0,0,0,0
2.52026415306161,0,-3.13894410177749,3.26793019452964,0,0,0,0,0,0,0,0,0,0,-3.40473479830654,-4.22700083192481,-3.84489966691266,-4.84119765335031,3.64728221972414,-4.12407397540855,-4.71965245059243,3.13589397831388,0,0,-2.94418496512634,4.69267176510852,-6.15298042649485,-2.97486940394219,2.77836335308658,-3.74210965238905,0,3.35538450452444,3.45383706189968,0,0,3.86062893532423,-2.29126902300772,3.24428837514956,-4.47306321472083,-2.64985159317148
0,0,0,0,0,0,0,2.56826818931411,0,0,0,0,0,0,0,0,-2.00588969387655,0,0,0,0,0,0,0,2.10297353663708,0,0,0,0,0,0,0,-2.2298755648542,0,0,0,0,0,0,0
0,-2.70456202028473,-2.90877071366596,0,0,0,0,-2.11875693087331,0,0,0,3.16568605571617,0,3.16761138793172,-3.61248545784387,-3.90892260788966,-3.64733881540168,-3.4280611796346,10.1880424020022,-5.63798641067203,-3.28262110459274,4.87371601611263,0,3.85468280237275,-3.94256680152332,8.31884206523729,-8.17905142079446,-3.85796281399195,5.67083508501984,-2.22688268139656,3.71040504590724,5.09040451763755,0,0,3.90046065430381,2.58521948335559,0,6.7404768425554,-6.82640370731666,0
0,0,0,0,0,0,0,0,2.40477709387894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14735022556623,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13643949421385,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.03148938804581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.13715337768268,-3.01284420880224,0,0,0,0,0,0,0,0,0,0,0,-2.51729981230336,0,0,0,0,2.4142874871723,0,0,3.38194352636139,0,-2.13201171020412
3.64593571356684,0,0,3.45929115598854,-5.30579567889617,-2.69104055312034,-5.0487329874922,-2.30717756752505,0,-5.39307192598017,2.90020609545996,0,0,0,-2.8936897926038,-2.41717866640922,0,-2.24774577658359,0,-3.030930992626,0,3.12142126433362,0,0,0,0,0,-2.64759554683077,3.25683680348652,0,0,0,-4.07159505973484,3.8662434887541,0,0,-4.85515662546943,2.62093551066436,-3.01809614222921,3.19107339698096
0,0,0,0,0,0,0,0,0,0,-3.08995702126004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90735984949689,0,0,0,0,0,0,0,-3.86789446885327,0,0,-4.30222053987449,0,0
0,0,0,0,0,0,0,0,0,0,0,-3.30563461916223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78376694296705,0,0,2.68157471242151,0,0,-2.71614081029217,0,0,0,-3.32538120564004,0,0,0
0,0,-2.28529558515828,0,0,0,0,-3.7252607349512,2.97929977187181,0,0,0,0,0,-2.69626264257493,-3.9249583166997,0,0,0,-2.73227549352703,0,2.38209037291286,0,0,0,0,0,-3.15452077957278,2.72425747736797,0,0,0,-2.31749679471005,4.07630343155933,0,2.16822017966959,-3.91906702466316,0,-3.65217198655781,3.02816904233339
0,0,0,0,0,0,0,-2.2365447857112,4.1459012605536,0,4.90784317225362,0,0,0,0,0,0,2.05904782992646,0,0,0,0,0,-1.99071444772638,0,-3.52712904758234,0,0,-2.33490439435506,3.55538238022852,0,-2.28154743694193,-2.9844102679437,3.13304700278304,-2.03355871443738,0,-3.2308720716301,0,0,2.96142684223887
0,0,0,-2.60326058946598,2.64967868300086,2.19122913609785,2.25532320138157,2.92387456485087,-2.02880440774078,3.51905448093758,-2.22518378123685,0,0,-2.14037003937987,0,0,0,0,0,0,0,0,0,2.85821608398361,0,0,0,0,0,0,0,0,0,-5.1674509703019,0,0,5.0416449865044,0,0,-2.98170977232516
-2.09876873351004,0,0,0,1.9788742559058,0,0,3.18185284721265,-4.16277663431064,2.20225302030426,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7704093605708,0,0,0,0,1.97595389500154,0,0,0,0,0,0,0,0,0,0,-3.74503684214538
0,0,0,2.6715545362447,-3.41537748106691,0,0,-3.38573157254638,0,-3.8100711586724,0,0,0,0,0,-2.43340076303316,0,0,0,-2.56173161625417,0,0,0,-2.83404230952273,0,0,0,0,0,0,0,0,0,3.80576574030661,0,0,-3.4203188426757,0,0,2.69808616620561
0,2.19631018246197,0,2.83308533665911,0,0,0,0,2.22783179988577,0,0,0,0,-2.90056491964813,0,0,2.24900154814611,3.83881566216905,-4.47871202831317,0,2.62521160981907,-2.36256760479452,0,0,0,-5.43051435225386,6.4085552536876,2.03701754955351,-3.00568559941511,3.5789119433405,0,-4.45636545996815,0,0,-3.05166741416775,-3.20946879041051,0,-4.50403619945897,4.94641723637265,0
-2.00202383353319,0,0,0,0,0,0,0,0,0,0,-3.96198465884451,-3.7061352075203,-3.89514632891643,0,3.0917393147271,0,4.01053914919719,-7.27971303668233,4.96185329292654,3.87737579080743,-3.11764368464643,-2.4241418618128,0,2.39461518430031,-7.48364829236217,7.90835814335143,5.65064389425055,-4.27375056124254,5.00604769589096,0,-6.94553804735829,-2.2044170216975,0,-7.0924168485186,-4.99211301706272,0,-8.15462231475635,5.4212234297768,2.33793895123658
0,0,0,0,-2.47776563973025,0,0,0,0,0,0,-3.03812873979656,-2.04950675826875,-2.91024491816587,2.51498954319999,4.11232185319473,0,4.64411169151538,-2.67442638361647,4.01357615906561,0,0,0,0,2.53413434677835,-3.90907082808428,6.44940433822756,4.82762081895809,-4.3418701573177,4.84262501393918,0,-5.52792291875114,0,-2.94398851839758,-3.16456241067444,-3.45501149869833,0,-4.76494059778832,3.56191446919039,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05479892360583,0,0,0,0,0,2.27231859294008,0,-2.0310031227485,0,0,0,0,0,0,0,0
2.76792138354548,2.24150310629719,0,-4.62059139531972,4.42506381066645,2.14603658230171,3.86224646675995,0,0,0,0,0,3.01294490417528,0,0,2.66696873941765,0,0,4.52311797730202,-3.05001999618078,0,0,0,0,0,3.90206945707914,3.58845743361572,2.075204839211,-2.61354108872897,0,-2.92352383662521,4.37537865543186,-3.77382150106303,0,-3.10470192572696,3.24130384199247,0,0,3.94701543019757,2.26966206551251
0,0,3.2106785201002,0,0,0,0,0,-2.41906644913239,0,2.74859151799694,0,0,0,0,0,0,-3.50536018438951,0,2.26924520229037,0,0,-2.10317463801589,2.19153635122746,0,2.35211836390021,-3.06408927719945,0,0,-2.78219085664319,-3.02733645909967,0,0,0,4.18611681973455,0,0,2.38348052128845,0,0
1.97090971427964,2.28494652984618,2.74515069925601,0,-2.11792638679405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43896974707525,0,0,0,0
0,-2.59308452455065,-2.88529518742408,0,0,0,0,0,0,0,0,0,0,0,-2.19957896009763,-2.38668015739853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20938799483686,2.487468099513,0,0,0,2.64753567616919,0,0,-2.10119900407545,0
0,-2.98853759519799,-2.08709743078098,0,4.22070614975425,3.29703648609915,2.26647622208744,0,0,0,0,2.70006461356744,0,3.02508582644327,0,-3.07972176669677,-2.98032192771348,-2.21427278772252,4.32782997730882,-4.30830023683262,0,2.97591483812343,0,0,0,3.58214425951921,-3.65608336418831,-2.2257200877149,2.27082193142821,0,2.40323784978291,3.63525407429381,0,0,0,0,0,2.04114280848832,-4.63935556371913,0
4.26701925655052,0,-3.00736992707071,0,0,2.08628516836092,0,-3.97619116811184,2.62355275536414,0,3.03375405907473,2.3705623570216,-4.89191805878909,2.04585143102971,-7.74618876655468,-6.04511179625298,-6.40437543300719,-6.62749040238022,3.12542808675011,-5.3571722510764,-3.13446347981205,5.85590266907742,0,0,-3.30088896178093,4.46724301371352,-8.09951198685902,-5.32526005217475,5.24549905108143,-5.73491245362186,3.25518790956372,5.41763302105761,0,2.18422164438349,0,5.44580861448636,0,0,-5.69297082329223,4.26998579315041
